country_iso;Agriculture, Forestry & Land Use;Buildings & Appliances;Energy Production & Supply;Technologies and Solutions;Transport;Atmospheric Gases;total_policies;Agriculture, Forestry & Land Use_normalized;Buildings & Appliances_normalized;Energy Production & Supply_normalized;Technologies and Solutions_normalized;Transport_normalized;Atmospheric Gases_normalized
AFG;0;0;1;1;0;0;2;0.0;0.0;0.5;0.5;0.0;0.0
AGO;1;0;2;2;0;1;6;0.16666666666666666;0.0;0.3333333333333333;0.3333333333333333;0.0;0.16666666666666666
ALB;1;1;4;1;0;1;8;0.125;0.125;0.5;0.125;0.0;0.125
AND;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
ARE;1;18;21;9;5;2;56;0.017857142857142856;0.32142857142857145;0.375;0.16071428571428573;0.08928571428571429;0.03571428571428571
ARG;22;22;40;16;16;5;121;0.18181818181818182;0.18181818181818182;0.3305785123966942;0.1322314049586777;0.1322314049586777;0.04132231404958678
ARM;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
ATG;1;0;2;1;0;0;4;0.25;0.0;0.5;0.25;0.0;0.0
AUS;23;114;124;35;18;18;332;0.06927710843373494;0.3433734939759036;0.37349397590361444;0.10542168674698796;0.05421686746987952;0.05421686746987952
AUT;1;0;3;3;0;1;8;0.125;0.0;0.375;0.375;0.0;0.125
AZE;0;0;0;0;0;0;0;;;;;;
BDI;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
BEL;1;45;27;22;4;1;100;0.01;0.45;0.27;0.22;0.04;0.01
BEN;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
BFA;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
BGD;0;1;4;2;0;1;8;0.0;0.125;0.5;0.25;0.0;0.125
BGR;5;12;8;5;5;2;37;0.13513513513513514;0.32432432432432434;0.21621621621621623;0.13513513513513514;0.13513513513513514;0.05405405405405406
BHR;0;0;0;0;0;0;0;;;;;;
BHS;2;0;1;0;0;1;4;0.5;0.0;0.25;0.0;0.0;0.25
BIH;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
BLR;0;3;6;1;0;1;11;0.0;0.2727272727272727;0.5454545454545454;0.09090909090909091;0.0;0.09090909090909091
BLZ;1;0;0;0;1;0;2;0.5;0.0;0.0;0.0;0.5;0.0
BOL;1;1;1;0;0;1;4;0.25;0.25;0.25;0.0;0.0;0.25
BRA;58;20;46;22;18;13;177;0.327683615819209;0.11299435028248588;0.2598870056497175;0.12429378531073447;0.1016949152542373;0.07344632768361582
BRB;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
BRN;0;0;1;1;0;0;2;0.0;0.0;0.5;0.5;0.0;0.0
BTN;9;4;7;2;1;3;26;0.34615384615384615;0.15384615384615385;0.2692307692307692;0.07692307692307693;0.038461538461538464;0.11538461538461539
BWA;0;0;1;0;0;1;2;0.0;0.0;0.5;0.0;0.0;0.5
CAF;0;0;0;0;0;0;0;;;;;;
CAN;22;100;96;16;56;13;303;0.07260726072607261;0.33003300330033003;0.31683168316831684;0.052805280528052806;0.1848184818481848;0.0429042904290429
CHE;6;7;13;10;10;5;51;0.11764705882352941;0.13725490196078433;0.2549019607843137;0.19607843137254902;0.19607843137254902;0.09803921568627451
CHL;5;14;21;13;8;3;64;0.078125;0.21875;0.328125;0.203125;0.125;0.046875
CHN;55;62;115;64;30;5;331;0.1661631419939577;0.18731117824773413;0.3474320241691843;0.1933534743202417;0.09063444108761329;0.015105740181268883
CIV;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
CMR;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
COD;4;0;1;0;0;0;5;0.8;0.0;0.2;0.0;0.0;0.0
COK;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
COL;15;12;24;12;9;3;75;0.2;0.16;0.32;0.16;0.12;0.04
COM;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
CPV;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
CRI;8;8;13;5;5;4;43;0.18604651162790697;0.18604651162790697;0.3023255813953488;0.11627906976744186;0.11627906976744186;0.09302325581395349
CUB;0;2;3;0;0;1;6;0.0;0.3333333333333333;0.5;0.0;0.0;0.16666666666666666
CYP;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
CZE;0;0;5;5;0;1;11;0.0;0.0;0.45454545454545453;0.45454545454545453;0.0;0.09090909090909091
DEU;6;109;89;45;36;8;293;0.020477815699658702;0.3720136518771331;0.3037542662116041;0.15358361774744028;0.12286689419795221;0.027303754266211604
DJI;1;0;2;1;0;0;4;0.25;0.0;0.5;0.25;0.0;0.0
DMA;0;0;0;0;0;0;0;;;;;;
DNK;2;24;13;10;13;3;65;0.03076923076923077;0.36923076923076925;0.2;0.15384615384615385;0.2;0.046153846153846156
DOM;0;0;2;2;0;1;5;0.0;0.0;0.4;0.4;0.0;0.2
DZA;0;0;8;7;0;0;15;0.0;0.0;0.5333333333333333;0.4666666666666667;0.0;0.0
ECU;1;0;1;1;0;1;4;0.25;0.0;0.25;0.25;0.0;0.25
EGY;3;2;13;8;2;1;29;0.10344827586206896;0.06896551724137931;0.4482758620689655;0.27586206896551724;0.06896551724137931;0.034482758620689655
ERI;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
ESP;4;48;61;46;44;2;205;0.01951219512195122;0.23414634146341465;0.2975609756097561;0.22439024390243903;0.2146341463414634;0.00975609756097561
EST;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
ETH;8;0;9;5;0;1;23;0.34782608695652173;0.0;0.391304347826087;0.21739130434782608;0.0;0.043478260869565216
EUE;28;54;62;19;37;23;223;0.12556053811659193;0.242152466367713;0.27802690582959644;0.08520179372197309;0.16591928251121077;0.1031390134529148
FIN;0;1;15;7;0;2;25;0.0;0.04;0.6;0.28;0.0;0.08
FJI;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
FRA;8;117;103;60;49;7;344;0.023255813953488372;0.34011627906976744;0.29941860465116277;0.1744186046511628;0.14244186046511628;0.020348837209302327
FSM;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
GAB;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
GBR;13;79;94;38;54;6;284;0.045774647887323945;0.27816901408450706;0.33098591549295775;0.13380281690140844;0.19014084507042253;0.02112676056338028
GEO;2;13;7;3;18;5;48;0.041666666666666664;0.2708333333333333;0.14583333333333334;0.0625;0.375;0.10416666666666667
GHA;0;1;4;2;0;1;8;0.0;0.125;0.5;0.25;0.0;0.125
GIN;1;0;2;1;0;1;5;0.2;0.0;0.4;0.2;0.0;0.2
GMB;5;0;3;1;0;1;10;0.5;0.0;0.3;0.1;0.0;0.1
GNB;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
GNQ;0;0;0;0;0;0;0;;;;;;
GRC;0;2;7;4;4;1;18;0.0;0.1111111111111111;0.3888888888888889;0.2222222222222222;0.2222222222222222;0.05555555555555555
GRD;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
GRL;0;0;0;0;0;0;0;;;;;;
GTM;0;0;2;2;0;0;4;0.0;0.0;0.5;0.5;0.0;0.0
GUY;3;0;1;0;0;0;4;0.75;0.0;0.25;0.0;0.0;0.0
HND;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
HRV;0;0;2;1;0;1;4;0.0;0.0;0.5;0.25;0.0;0.25
HTI;0;0;0;0;0;0;0;;;;;;
HUN;0;2;1;0;0;1;4;0.0;0.5;0.25;0.0;0.0;0.25
IDN;70;32;64;29;18;3;216;0.32407407407407407;0.14814814814814814;0.2962962962962963;0.13425925925925927;0.08333333333333333;0.013888888888888888
IND;47;95;93;54;33;7;329;0.14285714285714285;0.2887537993920973;0.2826747720364742;0.1641337386018237;0.10030395136778116;0.02127659574468085
IRL;0;1;6;4;2;1;14;0.0;0.07142857142857142;0.42857142857142855;0.2857142857142857;0.14285714285714285;0.07142857142857142
IRN;0;5;13;7;0;0;25;0.0;0.2;0.52;0.28;0.0;0.0
IRQ;0;0;2;1;0;0;3;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0
ISL;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
ISR;0;6;7;4;0;1;18;0.0;0.3333333333333333;0.3888888888888889;0.2222222222222222;0.0;0.05555555555555555
ITA;3;43;86;43;14;2;191;0.015706806282722512;0.225130890052356;0.450261780104712;0.225130890052356;0.07329842931937172;0.010471204188481676
JAM;0;0;1;1;0;0;2;0.0;0.0;0.5;0.5;0.0;0.0
JOR;0;0;2;1;0;1;4;0.0;0.0;0.5;0.25;0.0;0.25
JPN;21;84;96;36;38;9;284;0.07394366197183098;0.29577464788732394;0.3380281690140845;0.1267605633802817;0.13380281690140844;0.03169014084507042
KAZ;1;6;13;8;0;1;29;0.034482758620689655;0.20689655172413793;0.4482758620689655;0.27586206896551724;0.0;0.034482758620689655
KEN;8;6;9;2;1;3;29;0.27586206896551724;0.20689655172413793;0.3103448275862069;0.06896551724137931;0.034482758620689655;0.10344827586206896
KGZ;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
KHM;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
KIR;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
KNA;0;0;0;0;0;0;0;;;;;;
KOR;27;65;73;36;35;10;246;0.10975609756097561;0.26422764227642276;0.2967479674796748;0.14634146341463414;0.14227642276422764;0.04065040650406504
KWT;0;5;5;3;0;0;13;0.0;0.38461538461538464;0.38461538461538464;0.23076923076923078;0.0;0.0
LAO;0;0;1;1;0;0;2;0.0;0.0;0.5;0.5;0.0;0.0
LBN;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
LBR;0;0;1;1;0;0;2;0.0;0.0;0.5;0.5;0.0;0.0
LBY;0;0;1;1;0;0;2;0.0;0.0;0.5;0.5;0.0;0.0
LCA;0;0;1;0;0;0;1;0.0;0.0;1.0;0.0;0.0;0.0
LIE;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
LKA;2;0;3;2;0;1;8;0.25;0.0;0.375;0.25;0.0;0.125
LSO;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
LTU;0;0;2;2;0;1;5;0.0;0.0;0.4;0.4;0.0;0.2
LUX;0;1;1;1;0;1;4;0.0;0.25;0.25;0.25;0.0;0.25
LVA;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
MAR;5;7;14;10;0;1;37;0.13513513513513514;0.1891891891891892;0.3783783783783784;0.2702702702702703;0.0;0.02702702702702703
MCO;0;1;1;0;0;0;2;0.0;0.5;0.5;0.0;0.0;0.0
MDA;0;0;2;2;0;0;4;0.0;0.0;0.5;0.5;0.0;0.0
MDG;1;0;0;0;0;0;1;1.0;0.0;0.0;0.0;0.0;0.0
MDV;0;0;1;0;0;1;2;0.0;0.0;0.5;0.0;0.0;0.5
MEX;29;70;47;18;14;2;180;0.16111111111111112;0.3888888888888889;0.2611111111111111;0.1;0.07777777777777778;0.011111111111111112
MHL;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
MKD;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
MLI;2;2;4;2;0;1;11;0.18181818181818182;0.18181818181818182;0.36363636363636365;0.18181818181818182;0.0;0.09090909090909091
MLT;0;0;1;1;0;0;2;0.0;0.0;0.5;0.5;0.0;0.0
MMR;2;0;1;0;0;0;3;0.6666666666666666;0.0;0.3333333333333333;0.0;0.0;0.0
MNE;0;0;2;2;0;1;5;0.0;0.0;0.4;0.4;0.0;0.2
MNG;3;1;4;2;0;1;11;0.2727272727272727;0.09090909090909091;0.36363636363636365;0.18181818181818182;0.0;0.09090909090909091
MOZ;1;0;3;3;0;1;8;0.125;0.0;0.375;0.375;0.0;0.125
MRT;0;0;0;0;0;0;0;;;;;;
MUS;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
MWI;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
MYS;4;10;13;5;0;1;33;0.12121212121212122;0.30303030303030304;0.3939393939393939;0.15151515151515152;0.0;0.030303030303030304
NAM;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
NER;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
NGA;13;3;23;11;0;1;51;0.2549019607843137;0.058823529411764705;0.45098039215686275;0.21568627450980393;0.0;0.0196078431372549
NIC;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
NIU;0;0;1;0;0;1;2;0.0;0.0;0.5;0.0;0.0;0.5
NLD;1;1;15;7;0;1;25;0.04;0.04;0.6;0.28;0.0;0.04
NOR;3;24;26;13;36;2;104;0.028846153846153848;0.23076923076923078;0.25;0.125;0.34615384615384615;0.019230769230769232
NPL;9;0;7;6;1;0;23;0.391304347826087;0.0;0.30434782608695654;0.2608695652173913;0.043478260869565216;0.0
NRU;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
NZL;5;22;12;3;6;1;49;0.10204081632653061;0.4489795918367347;0.24489795918367346;0.061224489795918366;0.12244897959183673;0.02040816326530612
OMN;0;0;0;0;0;0;0;;;;;;
PAK;2;0;11;8;0;0;21;0.09523809523809523;0.0;0.5238095238095238;0.38095238095238093;0.0;0.0
PAN;0;0;1;1;0;1;3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333
PER;14;6;6;4;4;1;35;0.4;0.17142857142857143;0.17142857142857143;0.11428571428571428;0.11428571428571428;0.02857142857142857
PHL;8;5;13;5;3;1;35;0.22857142857142856;0.14285714285714285;0.37142857142857144;0.14285714285714285;0.08571428571428572;0.02857142857142857
PLW;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
PNG;0;0;0;0;0;0;0;;;;;;
POL;0;1;16;13;0;1;31;0.0;0.03225806451612903;0.5161290322580645;0.41935483870967744;0.0;0.03225806451612903
PRK;0;0;6;0;0;1;7;0.0;0.0;0.8571428571428571;0.0;0.0;0.14285714285714285
PRT;0;1;2;2;1;1;7;0.0;0.14285714285714285;0.2857142857142857;0.2857142857142857;0.14285714285714285;0.14285714285714285
PRY;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0.0;1.0
PSE;0;0;0;0;0;0;0;;;;;;
